"c_deklaag"	"kwelmm"	"min_lensdikte"	"gem_lensdikte"	"max_lensdikte"	"P"
1000	0.544321792149751	1.2988393963696	2.3431984413403	2.6441269073134	0.273877311719322
1100	0.500592979032467	1.32942893840349	2.37468207999844	2.67571135412949	0.270044856044901
1200	0.463494932728319	1.35762366340238	2.40363738791965	2.70475230733252	0.266617103546912
1300	0.431613605325856	1.38377495315183	2.43044382676187	2.73163243862019	0.263523136123738
1400	0.403912170833924	1.4081617701184	2.45540104245123	2.7566537532999	0.260708660399326
1500	0.379612733183365	1.43100933882676	2.47874983910568	2.78005882934664	0.258131260159364
1600	0.358120011548941	1.4525021554172	2.5006866763193	2.80204548626308	0.255757216815257
1700	0.338970568692134	1.47279327689906	2.52137395327501	2.82277718364765	0.253559318175081
1800	0.321798120172597	1.49201109969243	2.54094747011699	2.84239056095644	0.251515310450339
1900	0.306309271383803	1.51026440124289	2.55952194905676	2.8610010135506	0.249606780738991
2000	0.292266194514273	1.52764615352388	2.57719519144488	2.87870688906842	0.247818334723495
2100	0.279474031533293	1.54423645124626	2.59405125662326	2.89559269490454	0.246136981242853
2200	0.267771582184475	1.56010479078893	2.61016292667674	2.9117315841556	0.244551664648732
2300	0.257024317730517	1.57531186549634	2.62559364151051	2.92718730662048	0.243052904570703
2400	0.247119068854585	1.58991099565374	2.64039903536612	2.94201575743898	0.241632514968821
2500	0.237959936969819	1.60394927896654	2.65462816948658	2.95626621909836	0.240283382546244
2600	0.229465111898264	1.61746852470914	2.66832453036275	2.96998236695835	0.238999290177151
2700	0.221564369525979	1.63050601865137	2.68152684515653	2.98320309040336	0.237774774874158
2800	0.214197085518351	1.64309515429921	2.69426975309436	2.9959631687877	0.236605012545711
2900	0.207310644880028	1.65526595757375	2.70658436234908	3.00829383196511	0.23548572373946
3000	0.200859158153525	1.66704552583607	2.71849871509848	3.02022322829412	0.234413095976736
3100	0.194802417336479	1.67845839752092	2.73003817836115	3.03177681787226	0.233383719316436
3200	0.18910504079674	1.68952686515784	2.74122577440496	3.04297770491005	0.232394532550633
3300	0.183735768389434	1.70027124187842	2.75208246160523	3.05384692021052	0.231442778008888
3400	0.178666876824006	1.71071008948163	2.76262737442655	3.06440366249666	0.230525963380037
3500	0.173873691980945	1.72086041452389	2.77287802946428	3.07466550557598	0.229641829292776
3600	0.169334179897989	1.73073783767865	2.7828505031589	3.08464857699736	0.22878832164974
3700	0.165028601991503	1.74035674061845	2.79255958572759	3.09436771277737	0.227963567908879
3800	0.160939223023875	1.74973039392142	2.80201891504736	3.10383659195711	0.227165856658745
3900	0.157050062628953	1.75887106886006	2.81124109353351	3.11306785405395	0.226393619958431
4000	0.153346682986693	1.76779013546227	2.82023779055352	3.12207320196561	0.225645418007161
